Protein,MW,Length
PN96_RS15605,34.809694539999974,309
PN96_RS15610,52.32076893999994,471
PN96_RS15615,16.262238540000013,157
PN96_RS15620,51.29464933999997,457
PN96_RS15625,28.21786244000001,247
PN96_RS15630,24.292017239999996,230
PN96_RS15635,23.23392524000001,227
PN96_RS15640,34.423716639999974,309
PN96_RS15645,14.611523440000006,127
PN96_RS15650,12.93111074000001,117
PN96_RS15655,14.419427140000005,129
PN96_RS15660,27.82812704000002,250
PN96_RS15665,38.01107264,351
PN96_RS15670,11.115097240000004,95
PN96_RS15675,30.223932440000016,285
PN96_RS15685,83.10803494000001,726
PN96_RS15690,60.65112693999994,545
PN96_RS15695,7.743332639999997,67
PN96_RS15700,33.07083823999999,295
PN96_RS15705,25.37901994000002,228
PN96_RS15710,40.55421203999993,382
PN96_RS15715,24.24659323999999,221
PN96_RS15720,28.615807140000005,254
PN96_RS15725,17.212777440000018,150
PN96_RS15730,8.528878540000001,72
PN96_RS15735,42.071265439999976,384
PN96_RS15740,49.28445403999999,431
PN96_RS15745,18.59322544000002,162
PN96_RS15750,37.15693464000002,326
PN96_RS15755,32.60734243999999,290
PN96_RS15760,22.818257140000004,213
PN96_RS15765,26.263850940000015,240
PN96_RS15770,48.50061473999993,422
PN96_RS15775,45.38276823999995,434
PN96_RS15780,13.38235184000001,125
PN96_RS15785,40.36610213999994,374
PN96_RS15790,16.209600440000024,155
PN96_RS15795,26.147349940000012,245
PN96_RS15800,76.81223904000004,686
PN96_RS15805,25.664738540000005,225
PN96_RS15810,85.16014654000014,734
PN96_RS15815,81.80471584000009,726
PN96_RS15820,92.34133224000027,817
PN96_RS15825,103.96478774000022,902
PN96_RS15830,33.81056674000002,305
PN96_RS15835,15.43386664000001,141
PN96_RS15840,22.783827440000003,205
PN96_RS15845,11.011792240000004,100
PN96_RS15850,40.18420043999998,358
PN96_RS15855,42.415957539999994,406
PN96_RS15860,31.422975040000004,289
PN96_RS15865,44.18654133999994,397
PN96_RS15870,143.8948749400006,1326
PN96_RS15875,58.14731033999994,531
PN96_RS15880,18.553102440000014,168
PN96_RS15885,29.220170540000005,269
PN96_RS15890,46.34553173999996,425
PN96_RS15895,75.80562873999993,660
PN96_RS15900,35.71373823999999,328
PN96_RS15905,50.4042703399999,479
PN96_RS15910,24.10338864000002,214
PN96_RS15915,43.79040333999997,403
PN96_RS15920,74.52514694000007,676
PN96_RS15925,35.21662433999999,312
PN96_RS15930,33.61727613999998,306
PN96_RS15935,34.55447024,318
PN96_RS15940,34.95392383999999,316
PN96_RS15945,28.654907240000014,253
PN96_RS15950,23.112276740000013,203
PN96_RS15955,57.18818513999989,512
PN96_RS15960,37.317903139999956,337
PN96_RS24390,2.82630804,24
PN96_RS15970,54.04044653999992,486
PN96_RS15975,43.300966939999945,404
PN96_RS15980,12.931843340000006,115
PN96_RS15985,28.42578814,250
PN96_RS15990,12.449963440000001,110
PN96_RS15995,15.220335640000018,141
PN96_RS16000,31.998649339999996,287
PN96_RS16005,10.979268840000012,104
PN96_RS16010,30.513121239999997,277
PN96_RS16015,24.872342839999995,215
PN96_RS16020,53.795415939999884,498
PN96_RS16025,48.80528273999993,446
PN96_RS16030,34.715758139999984,304
PN96_RS16035,44.15345033999996,399
PN96_RS16040,33.31204353999998,295
PN96_RS16045,14.284866740000007,128
PN96_RS16050,52.306579639999896,483
PN96_RS16055,33.33698724000001,307
PN96_RS16060,50.1963024399999,466
PN96_RS16065,46.506246439999934,430
PN96_RS16070,15.196137240000013,139
PN96_RS16075,41.46561893999994,379
PN96_RS16080,31.291413440000024,277
PN96_RS16085,17.847224540000013,152
PN96_RS16090,57.20542503999989,521
PN96_RS16095,8.212377040000002,73
PN96_RS16100,14.638911439999998,136
PN96_RS16105,10.232355440000001,94
PN96_RS16110,60.35827173999989,540
PN96_RS16115,57.71875573999987,523
PN96_RS16120,80.0865656400001,723
PN96_RS16125,42.18282273999998,365
PN96_RS16130,102.68078294000034,917
PN96_RS16135,76.35151283999998,672
PN96_RS16140,83.36323394,728
PN96_RS16145,44.27189483999997,389
PN96_RS16150,40.241270539999995,350
PN96_RS16155,36.74159593999998,338
PN96_RS16160,58.635021739999885,541
PN96_RS16165,102.69325144000032,902
PN96_RS16170,42.48967183999994,389
PN96_RS16175,74.1839763400001,667
PN96_RS16180,61.9835102399999,557
PN96_RS16185,44.39100523999992,391
PN96_RS16190,36.40038353999997,331
PN96_RS16195,72.13706673999997,639
PN96_RS16200,65.7240785399999,573
PN96_RS16205,45.59894813999999,400
PN96_RS16210,56.341634939999956,498
PN96_RS16215,54.604900139999906,488
PN96_RS24395,3.189523539999999,31
PN96_RS16220,34.37060773999999,307
PN96_RS16225,77.96332904000015,703
PN96_RS16230,34.668934939999964,324
PN96_RS16235,34.20983543999999,329
PN96_RS16240,55.66761243999988,505
PN96_RS16245,35.90300303999995,332
PN96_RS16250,61.777711139999994,567
PN96_RS16255,27.08844124000001,244
PN96_RS16260,55.85945363999992,500
PN96_RS16265,32.380191840000016,278
PN96_RS16270,39.97447483999999,359
PN96_RS16275,36.21938413999997,312
PN96_RS16280,51.60869753999991,464
PN96_RS16285,9.250597340000002,81
PN96_RS16290,35.392760239999966,326
PN96_RS16295,31.364161940000002,283
PN96_RS16300,36.85852153999998,343
PN96_RS16305,52.3565406399999,471
PN96_RS16310,56.04498783999993,491
PN96_RS16315,26.433926840000005,241
PN96_RS16320,28.240930540000008,258
PN96_RS16325,25.40397334000003,231
PN96_RS16330,91.77782274000023,829
PN96_RS16335,41.59104373999997,369
PN96_RS16340,34.09218303999999,299
PN96_RS16345,14.570463640000016,140
PN96_RS16350,17.15889824000002,152
PN96_RS16355,20.487051740000002,185
PN96_RS16360,56.02998913999984,522
PN96_RS16365,58.3697393399999,523
PN96_RS16370,37.25023923999998,333
PN96_RS24010,8.01919214,67
PN96_RS16375,26.162542540000015,235
PN96_RS16380,18.000828040000016,158
PN96_RS16385,9.530045340000004,82
PN96_RS16390,53.06125153999988,497
PN96_RS16395,25.37758694000002,235
PN96_RS16400,115.47891514000045,1048
PN96_RS16405,30.504904840000016,270
PN96_RS16415,27.277961340000015,239
PN96_RS16420,24.133501139999996,211
PN96_RS16425,68.78916713999989,616
PN96_RS16430,46.81377293999995,408
PN96_RS16435,52.244713339999905,463
PN96_RS16440,26.007864640000005,227
PN96_RS16445,71.86307563999996,637
PN96_RS16450,78.26496883999997,704
PN96_RS16455,22.109077740000018,196
PN96_RS16460,61.22794273999995,541
PN96_RS16465,26.025521840000007,236
PN96_RS16470,60.705503139999855,558
PN96_RS16475,75.77479623999996,673
PN96_RS16480,35.89185363999998,324
PN96_RS16485,45.846245939999974,405
PN96_RS16490,75.30626033999997,656
PN96_RS16495,18.263685240000004,155
PN96_RS16500,34.83099234000001,310
PN96_RS16505,31.713269140000016,282
PN96_RS16510,7.4804090400000005,65
PN96_RS16515,7.915070840000001,69
PN96_RS16520,26.07038274000001,238
PN96_RS16525,25.05952724,222
PN96_RS16530,25.328115840000013,232
PN96_RS16535,46.11744613999992,422
PN96_RS16540,29.31681034000001,257
PN96_RS16545,49.07565984,435
PN96_RS16550,38.29371903999999,340
PN96_RS16555,29.81320664000002,263
PN96_RS16560,18.111475140000017,164
PN96_RS16565,14.802138840000012,128
PN96_RS16570,44.277343739999914,408
PN96_RS16575,30.891740040000006,276
PN96_RS16580,32.03578664000001,285
PN96_RS16585,14.072473640000009,123
PN96_RS16590,33.01927184000002,288
PN96_RS16595,29.56552524000002,266
PN96_RS16600,9.515705940000004,83
PN96_RS16605,13.614199140000004,117
PN96_RS16610,33.35812454000002,297
PN96_RS16615,25.909698440000028,231
PN96_RS16620,15.336139340000024,147
PN96_RS16625,7.616487639999998,67
PN96_RS16630,52.12461303999992,455
PN96_RS16635,17.449869140000015,160
PN96_RS16640,22.09548664000002,202
PN96_RS16650,14.726834240000013,131
PN96_RS16655,52.37626313999989,476
PN96_RS16660,38.703447839999924,341
PN96_RS16665,22.51757094,196
PN96_RS16670,31.397742140000013,285
PN96_RS16675,90.2975215400002,849
PN96_RS16680,10.34253674,94
PN96_RS16685,11.060711440000004,94
PN96_RS16690,43.954111339999976,385
PN96_RS16695,48.28022423999989,446
PN96_RS16700,195.70026304000064,1808
PN96_RS16705,63.6355761399999,559
PN96_RS16710,30.18724954,267
PN96_RS16715,42.678649239999984,365
PN96_RS16720,17.637339540000013,154
PN96_RS16725,30.948795339999986,279
PN96_RS16730,40.635642539999964,382
PN96_RS16735,27.770484440000015,249
PN96_RS16740,23.325431840000004,200
PN96_RS16745,32.58653644,289
PN96_RS16750,29.58357714000001,260
PN96_RS16755,27.195064439999985,253
PN96_RS16760,20.75066584000003,186
PN96_RS16765,22.51361594000002,211
PN96_RS16770,34.33691223999998,309
PN96_RS16775,22.21077574000001,207
PN96_RS16780,28.953756439999996,257
PN96_RS16785,21.08907034000001,194
PN96_RS16790,16.395637740000012,146
PN96_RS16795,23.27663684000001,205
PN96_RS16800,12.064481740000005,103
PN96_RS16805,23.33529554,213
PN96_RS16810,9.34764374,81
PN96_RS16815,43.23193593999995,377
PN96_RS16820,18.46432404000001,171
PN96_RS16825,15.824012740000013,141
PN96_RS16830,12.300761640000005,109
PN96_RS16835,20.854717940000004,178
PN96_RS16840,69.71174373999997,615
PN96_RS16845,13.566341140000011,120
PN96_RS24015,6.371054840000001,57
PN96_RS16850,42.49396413999996,380
PN96_RS16855,46.64663523999997,449
PN96_RS16860,39.07342033999998,376
PN96_RS16865,17.44990974000001,156
PN96_RS16870,19.190989940000016,171
PN96_RS16875,40.35138763999996,364
PN96_RS16880,89.95586054000022,815
PN96_RS16885,27.16697074,241
PN96_RS16890,21.894231640000005,204
PN96_RS16895,27.692811539999994,265
PN96_RS16900,25.187369140000005,222
PN96_RS16905,34.71862893999998,316
PN96_RS16910,26.594300340000004,244
PN96_RS16915,27.72180354000001,252
PN96_RS16920,29.906122040000007,285
PN96_RS16925,49.37796083999989,461
PN96_RS16930,47.72620073999995,447
PN96_RS16935,22.245659840000005,199
PN96_RS16940,19.971258540000015,174
PN96_RS16985,30.068997240000005,257
PN96_RS16990,39.82722893999996,343
PN96_RS16995,13.776086340000012,118
PN96_RS17000,36.70901963999997,331
PN96_RS17005,18.226651840000013,160
PN96_RS17010,26.815771940000015,236
PN96_RS17015,34.27348264000002,317
PN96_RS17020,24.79072014000002,221
PN96_RS17025,52.21134063999994,457
PN96_RS17030,77.53338904000015,693
PN96_RS17035,28.452406439999997,255
PN96_RS17040,48.9771485399999,455
PN96_RS17045,20.540404740000017,184
PN96_RS17050,14.625713840000001,134
PN96_RS17055,23.106659240000006,206
PN96_RS17060,44.728255340000004,390
PN96_RS17065,35.542879239999955,327
PN96_RS17070,82.21362194000008,721
PN96_RS17075,42.52176263999996,401
PN96_RS17080,33.70717344,308
PN96_RS17085,71.29133543999995,636
PN96_RS17090,28.05872564000002,243
PN96_RS17095,16.08950124000001,142
PN96_RS17100,32.97407384,301
PN96_RS17105,12.731420740000004,112
PN96_RS17115,73.71567054000006,678
PN96_RS17120,45.43724804,406
PN96_RS17125,46.13299003999989,436
PN96_RS24025,5.292258739999999,48
PN96_RS17135,46.41664803999994,414
PN96_RS17140,22.962436040000014,203
PN96_RS17150,42.154909039999936,402
PN96_RS17155,42.14694813999996,364
PN96_RS17160,22.99712964000002,198
PN96_RS17165,52.36434493999993,460
PN96_RS17170,57.85012823999988,518
PN96_RS17175,21.705446440000006,192
PN96_RS17180,38.058096039999995,337
PN96_RS17185,60.09656523999992,514
PN96_RS17190,26.00477593999999,235
PN96_RS17195,5.975048439999999,50
PN96_RS17200,43.56857043999994,379
PN96_RS17205,14.280281140000014,132
PN96_RS17210,20.321044240000013,184
PN96_RS17215,13.280780040000014,119
PN96_RS17220,15.71168424000001,134
PN96_RS17225,42.48280523999996,394
PN96_RS17230,30.43349514000001,289
PN96_RS24400,87.68222884000023,827
PN96_RS17240,46.702940239999954,425
PN96_RS17245,26.163818140000014,233
PN96_RS17250,33.41171214,301
PN96_RS17255,25.250838240000007,224
PN96_RS17260,20.009848940000005,179
PN96_RS17265,15.626069140000011,144
PN96_RS17270,41.44095213999992,390
PN96_RS17275,70.53479034000003,649
PN96_RS17280,50.988073839999984,462
PN96_RS17285,47.339664539999966,417
PN96_RS17290,71.19805074000004,677
PN96_RS17295,12.670335140000002,115
PN96_RS17300,29.513542339999987,271
PN96_RS17305,50.842972539999906,459
PN96_RS17310,41.26304233999996,374
PN96_RS17315,36.641943139999995,336
PN96_RS17320,15.35052124000001,136
PN96_RS17325,41.14245883999996,372
PN96_RS17330,62.24569553999987,574
PN96_RS17335,27.096825940000013,234
PN96_RS17340,32.466860940000004,300
PN96_RS17345,51.572644139999916,466
PN96_RS17350,42.58976243999992,374
PN96_RS17355,35.41814794,321
PN96_RS17360,32.32890234000001,289
PN96_RS17365,49.194256239999945,456
PN96_RS17370,31.31909944000001,282
PN96_RS17375,24.98137314000001,223
PN96_RS17380,9.62134184,86
PN96_RS17385,19.89857794000001,172
PN96_RS17390,99.94404124000039,895
PN96_RS17395,65.60093483999987,602
PN96_RS17400,36.082254239999976,339
PN96_RS17405,9.777130140000004,87
PN96_RS17410,14.673820740000016,133
PN96_RS17415,61.866942339999916,559
PN96_RS17420,16.145845540000018,151
PN96_RS17425,12.833551240000002,116
PN96_RS17430,10.488013740000003,96
PN96_RS17435,56.28323603999995,532
PN96_RS17440,22.250275440000006,202
PN96_RS17445,32.500004739999994,287
PN96_RS17450,14.19006084000001,120
PN96_RS17455,36.38114584000003,314
PN96_RS17460,51.43355363999994,470
PN96_RS17465,32.006231639999996,292
PN96_RS17470,48.70639243999993,467
PN96_RS17475,18.166133240000008,158
PN96_RS17480,13.191502840000018,118
PN96_RS17485,23.691145740000014,217
PN96_RS17490,27.34819424000001,241
PN96_RS17495,50.37052523999994,436
PN96_RS17500,13.66500184000001,119
PN96_RS17505,17.506988340000017,172
PN96_RS17510,32.906486539999996,299
PN96_RS17515,33.665717139999984,294
PN96_RS17520,19.15304624000001,176
PN96_RS17525,10.752355840000007,96
PN96_RS17530,17.867492940000016,166
PN96_RS17535,7.716926239999997,69
PN96_RS17540,7.409430840000001,64
PN96_RS17545,74.5585668399999,674
PN96_RS17555,50.741721239999976,462
PN96_RS17560,45.06392643999995,402
PN96_RS17565,16.05824494000001,143
PN96_RS17570,14.556476440000015,131
PN96_RS17575,33.017600040000005,281
PN96_RS17580,17.976062840000008,156
PN96_RS17585,57.4730200399999,502
PN96_RS17590,42.19229783999993,385
PN96_RS17595,117.31915414000049,1052
PN96_RS17600,9.818219840000001,88
PN96_RS17610,25.02177204000001,219
PN96_RS17615,38.09764973999997,339
PN96_RS17620,29.536285140000007,262
PN96_RS17625,32.80858494,298
PN96_RS17630,30.567564840000003,268
PN96_RS17635,39.463175539999966,359
PN96_RS17640,28.127237240000007,246
PN96_RS17645,56.64489483999987,527
PN96_RS17650,9.527137840000009,87
PN96_RS17655,54.201011040000054,496
PN96_RS17660,112.28222684000045,1020
PN96_RS17665,39.36013973999998,360
PN96_RS17670,33.11089274000002,293
PN96_RS17675,38.66668653999995,344
PN96_RS17680,46.606951839999965,417
PN96_RS17685,31.61888644000003,268
PN96_RS17690,28.847111539999986,259
PN96_RS17695,87.22888834000015,789
PN96_RS17700,31.42207294,277
PN96_RS17705,45.65926683999992,418
PN96_RS17710,32.47037804000001,288
PN96_RS17715,49.850488539999894,456
PN96_RS17720,60.085589539999816,539
PN96_RS17725,86.37495644000022,772
PN96_RS17730,23.60015244000001,212
PN96_RS17735,41.02478273999996,399
PN96_RS17740,32.26793454,293
PN96_RS17745,18.34408274000002,164
PN96_RS17750,32.90166183999999,305
PN96_RS17755,22.369532840000016,197
PN96_RS24405,9.481907240000004,82
PN96_RS17765,84.93262054000016,750
PN96_RS17770,7.591504840000001,70
PN96_RS17775,8.002965039999998,67
PN96_RS17780,34.03973084000002,304
PN96_RS17785,40.54450453999995,363
PN96_RS17790,28.35032003999999,257
PN96_RS17795,14.702170940000013,130
PN96_RS17800,48.97215333999988,467
PN96_RS17805,46.258778740000004,409
PN96_RS17810,11.933534340000008,107
PN96_RS17815,18.84769844000002,163
PN96_RS17820,33.58308214000003,303
PN96_RS17825,87.44371254000015,798
PN96_RS17830,51.36779913999993,470
PN96_RS17835,24.026880040000005,213
PN96_RS17840,20.755801340000016,190
PN96_RS17845,10.674135540000005,99
PN96_RS17850,13.127008540000016,116
PN96_RS17855,24.746206640000015,219
PN96_RS17860,32.06459684000001,290
PN96_RS17865,54.06012823999992,497
PN96_RS17870,75.03680424,670
PN96_RS17875,19.55055784,173
PN96_RS17880,51.4544437399999,468
PN96_RS17885,55.38640583999989,506
PN96_RS17890,18.466032140000014,159
PN96_RS17895,36.63337543999999,335
PN96_RS17900,44.85001873999991,395
PN96_RS17905,36.91986423999998,334
PN96_RS17910,24.435288740000008,224
PN96_RS17915,55.22321043999989,478
PN96_RS17920,67.4365914399998,629
PN96_RS17925,54.90870543999991,480
PN96_RS17930,38.98157873999998,338
PN96_RS17935,27.19912024,253
PN96_RS17940,18.814241040000002,170
PN96_RS17945,38.03850973999997,352
PN96_RS17950,34.673698339999994,303
PN96_RS17955,106.06837914000046,959
PN96_RS17960,55.127503639999844,511
PN96_RS17965,16.395221940000013,142
PN96_RS17970,26.233168240000023,236
PN96_RS17975,37.67333523999999,342
PN96_RS17980,36.46979553999999,345
PN96_RS17985,9.114131440000001,79
PN96_RS17990,24.796026140000013,218
PN96_RS17995,25.615529139999996,239
PN96_RS18000,32.277155839999985,285
PN96_RS18010,48.305190139999944,442
PN96_RS18015,16.561899240000013,157
PN96_RS18020,37.76866414000002,337
PN96_RS18025,5.62443334,46
PN96_RS18030,7.903039839999999,69
PN96_RS18035,7.480392239999997,69
PN96_RS18040,31.45938524000001,282
PN96_RS18045,31.27920133999999,282
PN96_RS18050,33.62772464000002,300
PN96_RS18055,15.951312640000019,138
PN96_RS18060,15.66773094000002,143
PN96_RS18065,35.26819764,310
PN96_RS18070,61.93796003999996,552
PN96_RS18075,12.918399440000009,118
PN96_RS18080,11.811249240000002,101
PN96_RS18085,15.834287740000018,142
PN96_RS18090,22.412954440000014,199
PN96_RS18095,16.570739340000017,148
PN96_RS18100,20.012835040000013,181
PN96_RS18105,23.596940040000007,218
PN96_RS18110,22.725180440000017,205
PN96_RS18115,68.69639223999984,620
PN96_RS18120,28.634105840000007,248
PN96_RS18125,24.222318440000002,212
PN96_RS18130,48.84266463999986,448
PN96_RS18135,49.35065183999995,440
PN96_RS18140,24.979207139999996,223
PN96_RS18145,53.23388923999993,476
PN96_RS18150,45.38602623999988,420
PN96_RS18155,17.48494074000002,151
PN96_RS18160,34.503764539999985,304
PN96_RS18165,21.64485924000002,204
PN96_RS18170,8.333903540000001,73
PN96_RS18175,52.384350039999966,477
PN96_RS18180,36.17693753999999,327
PN96_RS18185,47.82745823999989,445
PN96_RS18190,12.395206740000003,104
PN96_RS18195,7.6354855399999995,67
PN96_RS18200,23.98534864000002,214
PN96_RS18205,12.019991040000008,104
PN96_RS18210,40.96091543999997,365
PN96_RS18215,96.73738424000017,857
PN96_RS18220,17.65954904000001,151
PN96_RS18225,39.02603623999999,352
PN96_RS18230,37.93679413999997,345
PN96_RS18235,24.288090240000017,219
PN96_RS18240,33.20564473999999,308
PN96_RS18245,16.92225934000001,151
PN96_RS24410,21.79584504000001,188
PN96_RS18260,25.477678940000004,222
PN96_RS18265,17.902916840000007,159
PN96_RS18270,66.87301083999989,612
PN96_RS18275,32.56603953999999,300
PN96_RS18280,22.593502840000006,206
PN96_RS18285,26.13674594,246
PN96_RS18290,41.67551903999996,402
PN96_RS18295,13.162088140000005,115
PN96_RS18300,67.11972813999982,589
PN96_RS18305,4.716660639999999,44
PN96_RS18310,21.65660524,192
PN96_RS18315,16.624881340000012,151
PN96_RS18320,92.98074824000018,829
PN96_RS18325,11.354478240000002,102
PN96_RS18330,17.697193940000012,161
PN96_RS18335,64.63382103999992,578
PN96_RS18340,22.646861040000005,204
PN96_RS18345,6.76964164,57
PN96_RS18350,34.781522740000014,287
PN96_RS18355,45.04626133999991,410
PN96_RS18360,17.49070664000001,154
PN96_RS18365,40.52384283999996,375
PN96_RS18370,113.46897654000053,1050
PN96_RS18375,64.63472224000004,589
PN96_RS18380,15.922318040000004,137
PN96_RS18385,22.184419239999993,200
PN96_RS18390,35.38524063999994,327
PN96_RS18400,38.44871273999999,350
PN96_RS18405,57.72419844000003,522
PN96_RS18410,71.88807424000008,663
PN96_RS18415,34.85375513999997,316
PN96_RS18420,36.11106223999998,333
PN96_RS18425,33.35407094000001,309
PN96_RS18430,66.57558423999978,631
PN96_RS18435,30.243344240000006,276
PN96_RS18440,10.733219940000001,98
PN96_RS18445,27.19232263999999,249
PN96_RS18450,44.52809723999993,411
PN96_RS18455,24.43412054000003,217
PN96_RS18460,35.73882683999998,321
PN96_RS18465,50.02533133999985,467
PN96_RS18470,18.929306240000006,162
PN96_RS18475,16.079268840000008,141
PN96_RS18480,33.93350304,302
PN96_RS18485,54.569237039999926,508
PN96_RS18490,37.21039253999992,347
PN96_RS18495,10.51817074000001,94
PN96_RS18500,34.88830483999998,310
PN96_RS18505,33.203167739999984,305
PN96_RS18510,10.695951940000002,95
PN96_RS18515,23.484819539999993,212
PN96_RS18520,29.815628440000005,276
PN96_RS18525,41.462087439999955,377
PN96_RS18530,41.686454039999916,375
PN96_RS18535,32.807621139999966,304
PN96_RS18540,34.15985703999997,312
PN96_RS18545,22.96814874000001,205
PN96_RS18550,33.382445340000004,299
PN96_RS18555,28.024274040000027,255
PN96_RS18560,28.665744640000018,262
PN96_RS18565,42.54765713999997,400
PN96_RS18570,28.10598414000002,258
PN96_RS18575,29.748062040000004,271
PN96_RS18580,34.128572040000016,301
PN96_RS18585,39.633184639999946,372
PN96_RS18590,11.049697240000008,96
PN96_RS18595,34.86075594,313
PN96_RS18600,52.18133453999997,458
PN96_RS18605,19.58478884000002,163
PN96_RS18610,36.78852733999998,343
PN96_RS18615,28.14692903999999,259
PN96_RS18620,47.73284493999988,440
PN96_RS18625,32.055176239999994,296
PN96_RS18630,44.45531963999997,409
PN96_RS18635,50.20193993999993,470
PN96_RS18640,16.91057064000002,150
PN96_RS18645,38.41904513999998,348
PN96_RS18650,51.61964793999994,484
PN96_RS18655,37.102350039999976,324
PN96_RS18660,25.15679694000001,221
PN96_RS18665,34.17522594000003,292
PN96_RS18675,33.64997484000003,304
PN96_RS18680,34.20040554000001,309
PN96_RS18685,46.072727439999966,411
PN96_RS18690,37.06680353999996,318
PN96_RS18695,33.488053940000015,313
PN96_RS18700,67.16875343999976,634
PN96_RS18705,33.832219540000004,295
PN96_RS18710,11.478034540000003,106
PN96_RS18715,86.60650794000014,780
PN96_RS18720,37.86064674000003,343
PN96_RS18725,34.926337039999986,315
PN96_RS18730,32.96362884000002,305
PN96_RS18735,45.14174773999997,405
PN96_RS18740,36.21828794,333
PN96_RS18745,17.937504940000014,163
PN96_RS18750,45.28271643999985,421
PN96_RS18755,33.45727744000002,308
PN96_RS18760,68.97486363999987,607
PN96_RS18765,15.893127740000022,147
PN96_RS18770,30.706580040000002,278
PN96_RS18775,37.76964363999998,336
PN96_RS18780,24.62813144000001,225
PN96_RS18785,37.28038723999998,352
PN96_RS18790,33.15380153999999,292
PN96_RS18795,12.980945940000007,117
PN96_RS18800,31.01442264,279
PN96_RS18805,34.62766834000001,318
PN96_RS18810,77.40325584000007,697
PN96_RS18815,33.504297839999985,298
PN96_RS18820,55.57809264000002,509
PN96_RS18825,42.508546339999995,371
PN96_RS18830,45.37241183999995,406
PN96_RS18835,33.997345840000015,299
PN96_RS18840,33.34594784000001,305
PN96_RS18845,45.40256843999986,428
PN96_RS18850,21.429179640000015,196
PN96_RS18855,37.33413653999998,341
PN96_RS18860,21.103065940000015,188
PN96_RS18870,59.84814503999997,550
PN96_RS18875,51.50923663999994,460
PN96_RS24210,24.401546640000007,228
PN96_RS18880,48.95767673999994,441
PN96_RS24030,441.86085434000313,4264
PN96_RS18890,45.88202703999983,431
PN96_RS18895,20.089907140000022,174
PN96_RS18900,37.86418653999994,344
PN96_RS18905,73.83920973999996,683
PN96_RS18910,35.294840240000006,309
PN96_RS18915,10.78799504,95
PN96_RS18920,29.007641440000004,252
PN96_RS18925,18.943627240000012,168
PN96_RS18930,39.15889793999999,351
PN96_RS18935,28.121430240000024,262
PN96_RS18940,28.25836674,262
PN96_RS18945,54.61746823999991,502
PN96_RS18950,17.123704240000013,159
